item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_main_type,item_sub_type,brand,model_name,condition_grade,set_or_single,component_count,key_components
16_etc-demo-000000,16_etc,16,3203e6f8965d0701,v2,35000,,,세이즈,X2,,,,
16_etc-demo-000001,16_etc,16,135d72d280b60682,v2,0,,,하이원리조트,큐브 프로,,,,
16_etc-demo-000002,16_etc,16,9a68af37c34c6427,v2,0,,,대림,Q2,,,,
16_etc-demo-000003,16_etc,16,31f6a86f588be09f,v2,150000,,,레고,타이가1,,,,
16_etc-demo-000004,16_etc,16,fa14c662b0d14f13,v2,20000,,,도루코,마이셰프,,,,
16_etc-demo-000005,16_etc,16,3d3a0b836c1fa787,v2,100000,,,INOTA,다우니페더 덕다운침낭 2100g,,,,
16_etc-demo-000006,16_etc,16,2686a51c864eed4d,v2,9000,,,베스킨라빈스,REH-221S,,,,
16_etc-demo-000007,16_etc,16,43b76f25cf072a5d,v2,0,,,동서가구,리우,,,,
16_etc-demo-000008,16_etc,16,8fe622234fa90dd0,v2,2222,,,밤켈,40L,,,,
16_etc-demo-000009,16_etc,16,39b97ccbbc492cb6,v2,800000,,,캠프타운,빅돔s,,,,
16_etc-demo-000010,16_etc,16,67658baabd0cdd35,v2,33000,,,레드불,쉐프박스,,,,
16_etc-demo-000011,16_etc,16,a2acaf64d52356e3,v2,60000,,,어반캠퍼,다우니페더 덕다운침낭 2100g,,,,
16_etc-demo-000012,16_etc,16,230be0decc7220c6,v2,50000,,,콜맨,8.0,,,,
16_etc-demo-000013,16_etc,16,a9ab613154ffa03b,v2,31000,,,스노우피크,8.0,,,,
16_etc-demo-000014,16_etc,16,a5b97ba52e2a5620,v2,0,,,린나이,리우,,,,
16_etc-demo-000015,16_etc,16,11ca21b5479c1a3f,v2,0,,,탐사,매직 스페이서,,,,
16_etc-demo-000016,16_etc,16,349a7ed995314d74,v2,500,,,이세계아이돌,럭스쉐이드,,,,
16_etc-demo-000017,16_etc,16,fc318d9d19547910,v2,0,,,에듀윌,벙커돔 버전 3,,,,
16_etc-demo-000018,16_etc,16,7ae46b917023b1d7,v2,0,,,한샘,캠리 8세대,,,,
