item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_type,gender,size_tag,color_main,sleeve_length,brand,is_luxury,size_estimated_kr
06_mens_clothing-demo-000000,06_mens_clothing,06,57c178d8805b31bc,v2,20000,,,,,,빌리지,,
06_mens_clothing-demo-000001,06_mens_clothing,06,169cf899b6b3aa19,v2,17613,,,,,,유니클로,,
06_mens_clothing-demo-000002,06_mens_clothing,06,e28cbe4e5693ca71,v2,30000,,,,,,세인트페인,,
06_mens_clothing-demo-000003,06_mens_clothing,06,f02229812ba92afd,v2,38000,,,,,,espionage,,
06_mens_clothing-demo-000004,06_mens_clothing,06,af5b61ae2809316d,v2,15000,,,,,,교복몰,,
06_mens_clothing-demo-000005,06_mens_clothing,06,1ab2a6dc635e3c78,v2,25000,,,,,,KNUT CLUB,,
06_mens_clothing-demo-000006,06_mens_clothing,06,460d3341344106de,v2,33462,,,,,,헤지스,,
06_mens_clothing-demo-000007,06_mens_clothing,06,c16522c2ecc363bb,v2,110000,,,,,,세인트제임스,,
06_mens_clothing-demo-000008,06_mens_clothing,06,02cca4f3b5816c33,v2,17000,,,,,,크로커다일,,
06_mens_clothing-demo-000009,06_mens_clothing,06,963a4543e55961d8,v2,10000,,,,,,자라맨,,
06_mens_clothing-demo-000010,06_mens_clothing,06,a7e2827524f92578,v2,650000,,,,,,VALENTINO,,
06_mens_clothing-demo-000011,06_mens_clothing,06,aaa22e5281bc4ee3,v2,9900,,,,,,젠틀맨스 컨셉,,
06_mens_clothing-demo-000012,06_mens_clothing,06,d546d73ef6d9ba54,v2,1530000,,,,,,몽클레어,,
06_mens_clothing-demo-000013,06_mens_clothing,06,e28cbe4e5693ca71,v2,30000,,,,,,세인트페인,,
06_mens_clothing-demo-000014,06_mens_clothing,06,e4b29ed53f6ee9cc,v2,42596,,,,,,라코스테,,
06_mens_clothing-demo-000015,06_mens_clothing,06,b8ed47e0061b0dcd,v2,400000,,,,,,톰브라운,,
06_mens_clothing-demo-000016,06_mens_clothing,06,169cf899b6b3aa19,v2,23856,,,,,,유니클로,,
06_mens_clothing-demo-000017,06_mens_clothing,06,e9387ada929ca4d0,v2,50000,,,,,,브룩스브라더스,,
06_mens_clothing-demo-000018,06_mens_clothing,06,1e1d61d0cd765876,v2,10000,,,,,,자라,,
06_mens_clothing-demo-000019,06_mens_clothing,06,37be8ee2b0becb90,v2,30000,,,,,,디젤,,
06_mens_clothing-demo-000020,06_mens_clothing,06,169cf899b6b3aa19,v2,17589,,,,,,유니클로,,
06_mens_clothing-demo-000021,06_mens_clothing,06,b78f3022ede410ff,v2,1980000,,,,,,PRADA,,
