item_id,category_name,category_code,spec_key_hash,hash_version,used_price,book_type,exam_name,exam_stage,subject_or_part,publisher_brand,volume_type,edition_or_target_year,set_included_count
14_books-demo-000000,14_books,14,97a9ace57d6e03a0,v2,5000,,,,,,,,
14_books-demo-000001,14_books,14,83687b0088e541ad,v2,70000,,,,,,,,
14_books-demo-000002,14_books,14,5f5acf8f030de0d2,v2,12000,,,,,,,,
14_books-demo-000003,14_books,14,1dd07ddc0e3902bd,v2,5000,,,,,,,,
14_books-demo-000004,14_books,14,a811035b212a6b83,v2,18000,,,,,,,,
14_books-demo-000005,14_books,14,55b8bb7fa5ea5d38,v2,13000,,,,,,,,
14_books-demo-000006,14_books,14,3e46c825298f0189,v2,6500,,,,,,,,
14_books-demo-000007,14_books,14,db647b01822424e1,v2,15000,,,,,,,,
14_books-demo-000008,14_books,14,778462686610199d,v2,12800,,,,,,,,
14_books-demo-000009,14_books,14,0dbc07a12dd15887,v2,7000,,,,,,,,
14_books-demo-000010,14_books,14,0430a70851107767,v2,103758,,,,,,,,
14_books-demo-000011,14_books,14,0d454d858639352f,v2,15000,,,,,,,,
14_books-demo-000012,14_books,14,48a24bd539968f56,v2,5000,,,,,,,,
14_books-demo-000013,14_books,14,0430a70851107767,v2,113748,,,,,,,,
14_books-demo-000014,14_books,14,db647b01822424e1,v2,15000,,,,,,,,
14_books-demo-000015,14_books,14,1dd07ddc0e3902bd,v2,16271,,,,,,,,
14_books-demo-000016,14_books,14,d679fce1800dac25,v2,6000,,,,,,,,
14_books-demo-000017,14_books,14,29d179c225a50f65,v2,13000,,,,,,,,
14_books-demo-000018,14_books,14,067dd75440f0ce32,v2,5000,,,,,,,,
14_books-demo-000019,14_books,14,0430a70851107767,v2,56009,,,,,,,,
14_books-demo-000020,14_books,14,5f5acf8f030de0d2,v2,12000,,,,,,,,
14_books-demo-000021,14_books,14,98d3a74a5524a30d,v2,6332,,,,,,,,
14_books-demo-000022,14_books,14,e30c9387eef8f066,v2,42000,,,,,,,,
14_books-demo-000023,14_books,14,7834f6a4c9ffe180,v2,330000,,,,,,,,
14_books-demo-000024,14_books,14,0d454d858639352f,v2,15000,,,,,,,,
14_books-demo-000025,14_books,14,6de1e959aa505bae,v2,25000,,,,,,,,
14_books-demo-000026,14_books,14,b2617cb5bd86622d,v2,10000,,,,,,,,
14_books-demo-000027,14_books,14,9f43b937245fc243,v2,7000,,,,,,,,
14_books-demo-000028,14_books,14,efa379274661eb90,v2,9000,,,,,,,,
14_books-demo-000029,14_books,14,dfaaaaffd934c4ad,v2,30000,,,,,,,,
14_books-demo-000030,14_books,14,0430a70851107767,v2,47595,,,,,,,,
14_books-demo-000031,14_books,14,a811035b212a6b83,v2,18000,,,,,,,,
14_books-demo-000032,14_books,14,0430a70851107767,v2,86542,,,,,,,,
14_books-demo-000033,14_books,14,acecba58340d9da9,v2,110000,,,,,,,,
14_books-demo-000034,14_books,14,ff4f0c7e9ea7f636,v2,30000,,,,,,,,
14_books-demo-000035,14_books,14,404ea591d2bd4d4b,v2,23000,,,,,,,,
14_books-demo-000036,14_books,14,c99d7cff54f6d25d,v2,8900,,,,,,,,
14_books-demo-000037,14_books,14,0430a70851107767,v2,73450,,,,,,,,
14_books-demo-000038,14_books,14,97a9ace57d6e03a0,v2,5001,,,,,,,,
14_books-demo-000039,14_books,14,4689da208bbaa0d8,v2,50000,,,,,,,,
14_books-demo-000040,14_books,14,97a9ace57d6e03a0,v2,5000,,,,,,,,
14_books-demo-000041,14_books,14,6b23f3a2653b26aa,v2,7000,,,,,,,,
14_books-demo-000042,14_books,14,f3e31988ba846566,v2,5000,,,,,,,,
14_books-demo-000043,14_books,14,251183e01f84cc9d,v2,4000,,,,,,,,
14_books-demo-000044,14_books,14,f3f253185d7faeac,v2,8700,,,,,,,,
14_books-demo-000045,14_books,14,a2f8326f6d0c44db,v2,5000,,,,,,,,
14_books-demo-000046,14_books,14,eb666161e0e46d03,v2,15000,,,,,,,,
14_books-demo-000047,14_books,14,6b23f3a2653b26aa,v2,15900,,,,,,,,
14_books-demo-000048,14_books,14,0430a70851107767,v2,144599,,,,,,,,
14_books-demo-000049,14_books,14,404ea591d2bd4d4b,v2,23000,,,,,,,,
14_books-demo-000050,14_books,14,346273c3a40287df,v2,63000,,,,,,,,
14_books-demo-000051,14_books,14,1dd07ddc0e3902bd,v2,11332,,,,,,,,
14_books-demo-000052,14_books,14,a94cdd377d03a158,v2,90000,,,,,,,,
14_books-demo-000053,14_books,14,d15f5f3286c1ddf7,v2,14000,,,,,,,,
14_books-demo-000054,14_books,14,1dd07ddc0e3902bd,v2,6304,,,,,,,,
14_books-demo-000055,14_books,14,a811035b212a6b83,v2,18000,,,,,,,,
14_books-demo-000056,14_books,14,1dd07ddc0e3902bd,v2,10355,,,,,,,,
14_books-demo-000057,14_books,14,eb666161e0e46d03,v2,150000,,,,,,,,
14_books-demo-000058,14_books,14,5f5acf8f030de0d2,v2,12000,,,,,,,,
14_books-demo-000059,14_books,14,a2f634382f241823,v2,10000,,,,,,,,
14_books-demo-000060,14_books,14,699b35beba337cb0,v2,9500,,,,,,,,
14_books-demo-000061,14_books,14,c422f44d10f6aec5,v2,12000,,,,,,,,
14_books-demo-000062,14_books,14,0430a70851107767,v2,142228,,,,,,,,
14_books-demo-000063,14_books,14,c99d7cff54f6d25d,v2,8900,,,,,,,,
14_books-demo-000064,14_books,14,e90015a27729669c,v2,15000,,,,,,,,
