item_id,category_name,category_code,spec_key_hash,hash_version,used_price,product_type,brand,model_name,color,usage_stage,condition_grade,defect_notes,purchase_time
03_baby_kids-demo-000000,03_baby_kids,03,67a916d29c8b73f8,v2,360000,,에그,듀엣프로 듀오,,,,,
03_baby_kids-demo-000001,03_baby_kids,03,2c1a0c1d15fdc833,v2,100000,,리안,솔로 LX,,,,,
03_baby_kids-demo-000002,03_baby_kids,03,0817fac1f780f005,v2,100000,,베이비젠,요요,,,,,
03_baby_kids-demo-000003,03_baby_kids,03,2e247b105cb5768d,v2,35000,,페도라,핏2,,,,,
03_baby_kids-demo-000004,03_baby_kids,03,623df624cfd51c66,v2,285198,,스토케,트레일즈,,,,,
03_baby_kids-demo-000005,03_baby_kids,03,e5cb027a81ede62d,v2,850000,,부가부,버터플라이,,,,,
03_baby_kids-demo-000006,03_baby_kids,03,148007e449c0f690,v2,100000,,베베스완,X1,,,,,
03_baby_kids-demo-000007,03_baby_kids,03,aae77c6399a617cd,v2,90000,,Ryan,캐리 듀얼,,,,,
03_baby_kids-demo-000008,03_baby_kids,03,2c1a0c1d15fdc833,v2,100000,,리안,솔로 LX,,,,,
03_baby_kids-demo-000009,03_baby_kids,03,c9a5cc22c9de28a4,v2,550000,,부가부,폭스2,,,,,
03_baby_kids-demo-000010,03_baby_kids,03,4b34c1fec298704c,v2,260000,,타보,레노,,,,,
03_baby_kids-demo-000011,03_baby_kids,03,623df624cfd51c66,v2,235097,,스토케,트레일즈,,,,,
03_baby_kids-demo-000012,03_baby_kids,03,1c7f1379f27acfae,v2,13000,,포그내,X1,,,,,
03_baby_kids-demo-000013,03_baby_kids,03,c49e51035c8d9648,v2,450000,,실버크로스,듄,,,,,
03_baby_kids-demo-000014,03_baby_kids,03,98ca7082ac4bdd95,v2,698000,,페도라,하모니,,,,,
03_baby_kids-demo-000015,03_baby_kids,03,44af21f2ec4cbd90,v2,620000,,스토케,요요3 yoyo3,,,,,
03_baby_kids-demo-000016,03_baby_kids,03,86a63cbf03cd8606,v2,750000,,부가부,버터플라이2,,,,,
03_baby_kids-demo-000017,03_baby_kids,03,ce4718c64d9ad2dc,v2,55000,,코니,SoftBreeze,,,,,
03_baby_kids-demo-000018,03_baby_kids,03,7bf6d020444c46b2,v2,190000,,베베스완,V5 엘레강스,,,,,
03_baby_kids-demo-000019,03_baby_kids,03,85950740c7d4abef,v2,100000,,허그파파,올인원,,,,,
03_baby_kids-demo-000020,03_baby_kids,03,a6f0b7a64adab0b6,v2,20000,,미마자리,리프2 디럭스,,,,,
03_baby_kids-demo-000021,03_baby_kids,03,52f1bb716b34a870,v2,500000,,스토케,익스플로리X,,,,,
03_baby_kids-demo-000022,03_baby_kids,03,49ebdb53be9c0bfd,v2,10000,,아이스토리,오가닉 아기띠,,,,,
03_baby_kids-demo-000023,03_baby_kids,03,2bb319045b85e57b,v2,270000,,미마지기,3g,,,,,
03_baby_kids-demo-000024,03_baby_kids,03,2a26c4352e70dae8,v2,110000,,베이비뵨,플렉스탭,,,,,
03_baby_kids-demo-000025,03_baby_kids,03,a638a224d94ad39c,v2,50000,,끌라미엘,원터치 캐리어 3D매쉬,,,,,
03_baby_kids-demo-000026,03_baby_kids,03,83a6f95bdd28ec11,v2,1000000,,부가부,폭스5,,,,,
03_baby_kids-demo-000027,03_baby_kids,03,4460585d969955ae,v2,1550000,,부가부,동키5 듀오,,,,,
03_baby_kids-demo-000028,03_baby_kids,03,aae77c6399a617cd,v2,90000,,Ryan,캐리 듀얼,,,,,
03_baby_kids-demo-000029,03_baby_kids,03,fbc99e746c22f993,v2,10000,,포그내,넘버5,,,,,
03_baby_kids-demo-000030,03_baby_kids,03,6b38c7d9ecdf0b86,v2,210000,,포브,프라이핏 에어,,,,,
03_baby_kids-demo-000031,03_baby_kids,03,c9b961eec3f61935,v2,570000,,부가부,폭스3,,,,,
03_baby_kids-demo-000032,03_baby_kids,03,fbc99e746c22f993,v2,10000,,포그내,익스플로리X,,,,,
03_baby_kids-demo-000033,03_baby_kids,03,a1586cec3c7e9032,v2,270000,,부가부,B5,,,,,
03_baby_kids-demo-000034,03_baby_kids,03,ddcf228705dd4b54,v2,160000,,베베핏,시그니처7,,,,,
03_baby_kids-demo-000035,03_baby_kids,03,9490bc2a6758adb8,v2,150000,,베이비뵨,캐리어 무브 에어리 매쉬,,,,,
03_baby_kids-demo-000036,03_baby_kids,03,e56bc319909fea53,v2,285000,,베이비뵨,하모니 3D 메쉬,,,,,
