item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_type,gender,size_tag,color_main,sleeve_length,brand,is_luxury,size_estimated_kr
06_mens_clothing-training-000000,06_mens_clothing,06,57c178d8805b31bc,v2,20000,,,,,,빌리지,,
06_mens_clothing-training-000001,06_mens_clothing,06,460d3341344106de,v2,31419,,,,,,헤지스,,
06_mens_clothing-training-000002,06_mens_clothing,06,c70320457f8a6b47,v2,19000,,,,,,에디바우어,,
06_mens_clothing-training-000003,06_mens_clothing,06,081081b77aa12939,v2,68183,,,,,,폴로 랄프로렌,,
06_mens_clothing-training-000004,06_mens_clothing,06,625363f4952a1958,v2,49000,,,,,,로가디스,,
06_mens_clothing-training-000005,06_mens_clothing,06,c1d5964c741ff71d,v2,17000,,,,,,IMPERIAL,,
06_mens_clothing-training-000006,06_mens_clothing,06,d7e7311577ac3ac0,v2,73000,,,,,,TITLELIST,,
06_mens_clothing-training-000007,06_mens_clothing,06,b8f098fb70e13831,v2,45000,,,,,,듀퐁,,
06_mens_clothing-training-000008,06_mens_clothing,06,d35a1c40300a0833,v2,10000,,,,,,DONNAY,,
06_mens_clothing-training-000009,06_mens_clothing,06,a7e2827524f92578,v2,650000,,,,,,VALENTINO,,
06_mens_clothing-training-000010,06_mens_clothing,06,d546d73ef6d9ba54,v2,470000,,,,,,몽클레어,,
06_mens_clothing-training-000011,06_mens_clothing,06,5f04502525484021,v2,100000,,,,,,사스콰치 패브릭스,,
06_mens_clothing-training-000012,06_mens_clothing,06,d6b20de9a502b36d,v2,16000,,,,,,Super brand,,
06_mens_clothing-training-000013,06_mens_clothing,06,d546d73ef6d9ba54,v2,1530000,,,,,,몽클레어,,
06_mens_clothing-training-000014,06_mens_clothing,06,c58f951f01e334d4,v2,40000,,,,,,지오송지오,,
06_mens_clothing-training-000015,06_mens_clothing,06,92400ce63237a0c1,v2,150000,,,,,,알레그리,,
06_mens_clothing-training-000016,06_mens_clothing,06,8237d03aeab36557,v2,18900,,,,,,에잇세컨즈,,
06_mens_clothing-training-000017,06_mens_clothing,06,b4fee045faecfee4,v2,45000,,,,,,타이틀리스트,,
06_mens_clothing-training-000018,06_mens_clothing,06,d7e7311577ac3ac0,v2,73000,,,,,,TITLELIST,,
06_mens_clothing-training-000019,06_mens_clothing,06,5395e79ba9ea0eb3,v2,68000,,,,,,단톤,,
06_mens_clothing-training-000020,06_mens_clothing,06,460d3341344106de,v2,30655,,,,,,헤지스,,
06_mens_clothing-training-000021,06_mens_clothing,06,4fa8b166af5ca245,v2,28000,,,,,,꼼데가르송,,
06_mens_clothing-training-000022,06_mens_clothing,06,4fa8b166af5ca245,v2,163500,,,,,,꼼데가르송,,
06_mens_clothing-training-000023,06_mens_clothing,06,3fa3032058c56b08,v2,25000,,,,,,레어뷰 rareview,,
06_mens_clothing-training-000024,06_mens_clothing,06,894035d41146d539,v2,5000,,,,,,스파오,,
06_mens_clothing-training-000025,06_mens_clothing,06,06af5eebaa2d9ccd,v2,290000,,,,,,CP 컴퍼니,,
06_mens_clothing-training-000026,06_mens_clothing,06,460d3341344106de,v2,32479,,,,,,헤지스,,
06_mens_clothing-training-000027,06_mens_clothing,06,e9536c9486fda8b5,v2,60000,,,,,,A/X,,
06_mens_clothing-training-000028,06_mens_clothing,06,bc00d61bfe13963d,v2,89232,,,,,,Polo Ralph Lauren,,
06_mens_clothing-training-000029,06_mens_clothing,06,c16522c2ecc363bb,v2,110000,,,,,,세인트제임스,,
06_mens_clothing-training-000030,06_mens_clothing,06,6721b29c4027c71e,v2,69000,,,,,,THEORY,,
06_mens_clothing-training-000031,06_mens_clothing,06,0f05d8b86df524c1,v2,40000,,,,,,Lacoste,,
06_mens_clothing-training-000032,06_mens_clothing,06,292870bbebef29e4,v2,6000,,,,,,GANT,,
06_mens_clothing-training-000033,06_mens_clothing,06,d546d73ef6d9ba54,v2,220000,,,,,,몽클레어,,
06_mens_clothing-training-000034,06_mens_clothing,06,0221095ce7492e90,v2,200000,,,,,,프레드페리,,
06_mens_clothing-training-000035,06_mens_clothing,06,9bd0ccb7814dda37,v2,38000,,,,,,버커루,,
06_mens_clothing-training-000036,06_mens_clothing,06,9bd0ccb7814dda37,v2,38000,,,,,,버커루,,
06_mens_clothing-training-000037,06_mens_clothing,06,259e2fc0964c624a,v2,980000,,,,,,Gucci,,
06_mens_clothing-training-000038,06_mens_clothing,06,06a58c3b599066d0,v2,110000,,,,,,버버리,,
06_mens_clothing-training-000039,06_mens_clothing,06,8237d03aeab36557,v2,18900,,,,,,에잇세컨즈,,
06_mens_clothing-training-000040,06_mens_clothing,06,a7cbcb879a2e806b,v2,48000,,,,,,닥스,,
06_mens_clothing-training-000041,06_mens_clothing,06,9d9c7383371813ad,v2,10000,,,,,,프랑코 페라로,,
06_mens_clothing-training-000042,06_mens_clothing,06,02cca4f3b5816c33,v2,17000,,,,,,크로커다일,,
06_mens_clothing-training-000043,06_mens_clothing,06,894035d41146d539,v2,5000,,,,,,스파오,,
06_mens_clothing-training-000044,06_mens_clothing,06,2e6b351c23610060,v2,120000,,,,,,건지울른스,,
06_mens_clothing-training-000045,06_mens_clothing,06,eaea57203d638a47,v2,25000,,,,,,트레이드클럽,,
06_mens_clothing-training-000046,06_mens_clothing,06,e4b29ed53f6ee9cc,v2,51681,,,,,,라코스테,,
06_mens_clothing-training-000047,06_mens_clothing,06,c1ed8ec86a1958f8,v2,50000,,,,,,아워스코프,,
06_mens_clothing-training-000048,06_mens_clothing,06,1e1d61d0cd765876,v2,36090,,,,,,자라,,
06_mens_clothing-training-000049,06_mens_clothing,06,d546d73ef6d9ba54,v2,220000,,,,,,몽클레어,,
06_mens_clothing-training-000050,06_mens_clothing,06,268be935633dc71c,v2,1080000,,,,,,TOMFORD,,
06_mens_clothing-training-000051,06_mens_clothing,06,bc00d61bfe13963d,v2,74361,,,,,,Polo Ralph Lauren,,
