item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_subtype,brand,color_main,gender_target,bag_style,wallet_style,line_or_model,material_main
05_fashion_accessories-training-000000,05_fashion_accessories,05,30aa86e1a64475ff,v2,430726,,디올,,,,,,
05_fashion_accessories-training-000001,05_fashion_accessories,05,0c200451ab0063ad,v2,299999,,TUMI,,,,,,
05_fashion_accessories-training-000002,05_fashion_accessories,05,b93a92587b2d5094,v2,210779,,구찌,,,,,,
05_fashion_accessories-training-000003,05_fashion_accessories,05,e98493fe760189cf,v2,99000,,샤넬,,,,,,
05_fashion_accessories-training-000004,05_fashion_accessories,05,1e998502a6885ce0,v2,34000,,공구우먼,,,,,,
05_fashion_accessories-training-000005,05_fashion_accessories,05,b93a92587b2d5094,v2,282616,,구찌,,,,,,
05_fashion_accessories-training-000006,05_fashion_accessories,05,9c51113fd35c0d6e,v2,9000,,스타벅스,,,,,,
05_fashion_accessories-training-000007,05_fashion_accessories,05,d46d3c54208b142e,v2,2750000,,셀린느,,,,,,
05_fashion_accessories-training-000008,05_fashion_accessories,05,5b8f5edd1658fccb,v2,13000,,칼린,,,,,,
05_fashion_accessories-training-000009,05_fashion_accessories,05,a9ab613154ffa03b,v2,25000,,스노우피크,,,,,,
05_fashion_accessories-training-000010,05_fashion_accessories,05,04aed5e2cf573475,v2,532694,,루이비통,,,,,,
05_fashion_accessories-training-000011,05_fashion_accessories,05,a84232825427d852,v2,250000,,발렌시아가,,,,,,
05_fashion_accessories-training-000012,05_fashion_accessories,05,bf39dca467f6e78a,v2,85000,,폴스부티끄,,,,,,
05_fashion_accessories-training-000013,05_fashion_accessories,05,04aed5e2cf573475,v2,673821,,루이비통,,,,,,
05_fashion_accessories-training-000014,05_fashion_accessories,05,30aa86e1a64475ff,v2,396244,,디올,,,,,,
05_fashion_accessories-training-000015,05_fashion_accessories,05,b93a92587b2d5094,v2,334833,,구찌,,,,,,
05_fashion_accessories-training-000016,05_fashion_accessories,05,13b30e05e125341f,v2,30000,,마르헨제이,,,,,,
05_fashion_accessories-training-000017,05_fashion_accessories,05,5a7f18135150185e,v2,205235,,보테가베네타,,,,,,
05_fashion_accessories-training-000018,05_fashion_accessories,05,30aa86e1a64475ff,v2,309157,,디올,,,,,,
05_fashion_accessories-training-000019,05_fashion_accessories,05,a84232825427d852,v2,300000,,발렌시아가,,,,,,
05_fashion_accessories-training-000020,05_fashion_accessories,05,b93a92587b2d5094,v2,323572,,구찌,,,,,,
05_fashion_accessories-training-000021,05_fashion_accessories,05,171d31c657284644,v2,30000,,내셔널지오그래픽,,,,,,
05_fashion_accessories-training-000022,05_fashion_accessories,05,8c286e3057dfbe2b,v2,26000,,쿠론,,,,,,
05_fashion_accessories-training-000023,05_fashion_accessories,05,b93a92587b2d5094,v2,241474,,구찌,,,,,,
05_fashion_accessories-training-000024,05_fashion_accessories,05,b024446d31d80181,v2,25000,,베베드피노,,,,,,
05_fashion_accessories-training-000025,05_fashion_accessories,05,9832e76977b4dd96,v2,22000,,뉴에라,,,,,,
05_fashion_accessories-training-000026,05_fashion_accessories,05,64788f887251d852,v2,40000,,폴스부띠끄,,,,,,
05_fashion_accessories-training-000027,05_fashion_accessories,05,b8ed47e0061b0dcd,v2,300000,,톰브라운,,,,,,
05_fashion_accessories-training-000028,05_fashion_accessories,05,9832e76977b4dd96,v2,22000,,뉴에라,,,,,,
05_fashion_accessories-training-000029,05_fashion_accessories,05,ca561aa2c4203ef8,v2,25000,,버드와이저,,,,,,
05_fashion_accessories-training-000030,05_fashion_accessories,05,ab45081f12acc173,v2,120000,,REISS,,,,,,
05_fashion_accessories-training-000031,05_fashion_accessories,05,04aed5e2cf573475,v2,683331,,루이비통,,,,,,
05_fashion_accessories-training-000032,05_fashion_accessories,05,04aed5e2cf573475,v2,662624,,루이비통,,,,,,
05_fashion_accessories-training-000033,05_fashion_accessories,05,e98493fe760189cf,v2,450000,,샤넬,,,,,,
05_fashion_accessories-training-000034,05_fashion_accessories,05,70913e3d7dc69f49,v2,75000,,벤츠,,,,,,
05_fashion_accessories-training-000035,05_fashion_accessories,05,5a54cdbeb72467d5,v2,20000,,아이삭,,,,,,
05_fashion_accessories-training-000036,05_fashion_accessories,05,b93a92587b2d5094,v2,354190,,구찌,,,,,,
05_fashion_accessories-training-000037,05_fashion_accessories,05,ee9630b25a96e40e,v2,210000,,루이독,,,,,,
05_fashion_accessories-training-000038,05_fashion_accessories,05,bc2d377811816154,v2,46112,,마이클코어스,,,,,,
05_fashion_accessories-training-000039,05_fashion_accessories,05,43a683e0439c33a2,v2,190000,,몽블랑,,,,,,
05_fashion_accessories-training-000040,05_fashion_accessories,05,16c2945a8ecbd4a4,v2,30000,,토리버치,,,,,,
05_fashion_accessories-training-000041,05_fashion_accessories,05,44851e355877ee25,v2,575843,,고야드,,,,,,
05_fashion_accessories-training-000042,05_fashion_accessories,05,04aed5e2cf573475,v2,586814,,루이비통,,,,,,
05_fashion_accessories-training-000043,05_fashion_accessories,05,d8708e07d1bd02dc,v2,150000,,안트미미,,,,,,
05_fashion_accessories-training-000044,05_fashion_accessories,05,5fcf0f5b6a3fa081,v2,15000,,치이카와,,,,,,
05_fashion_accessories-training-000045,05_fashion_accessories,05,5a7f18135150185e,v2,191829,,보테가베네타,,,,,,
05_fashion_accessories-training-000046,05_fashion_accessories,05,0c200451ab0063ad,v2,299999,,TUMI,,,,,,
05_fashion_accessories-training-000047,05_fashion_accessories,05,4a3c7afef19545c2,v2,25000,,캉골 키즈,,,,,,
05_fashion_accessories-training-000048,05_fashion_accessories,05,04aed5e2cf573475,v2,709055,,루이비통,,,,,,
05_fashion_accessories-training-000049,05_fashion_accessories,05,04aed5e2cf573475,v2,686730,,루이비통,,,,,,
05_fashion_accessories-training-000050,05_fashion_accessories,05,e98493fe760189cf,v2,1111111,,샤넬,,,,,,
05_fashion_accessories-training-000051,05_fashion_accessories,05,d46d3c54208b142e,v2,2750000,,셀린느,,,,,,
05_fashion_accessories-training-000052,05_fashion_accessories,05,a7cbcb879a2e806b,v2,150000,,닥스,,,,,,
