item_id,category_name,category_code,spec_key_hash,hash_version,used_price,brand,product_name,item_type,capacity_ml,condition,piece_count,line_series,fragrance_type
11_beauty-training-000000,11_beauty,11,34f3e9214fbc2143,v2,15000,크리드,,,,,,,
11_beauty-training-000001,11_beauty,11,d046146efa8b02c9,v2,8000,파테크,,,,,,,
11_beauty-training-000002,11_beauty,11,e98493fe760189cf,v2,13517,샤넬,,,,,,,
11_beauty-training-000003,11_beauty,11,dd2fec521b684a54,v2,16600,블라우풍트,,,,,,,
11_beauty-training-000004,11_beauty,11,2ecd558c02680368,v2,361723,다이슨,,,,,,,
11_beauty-training-000005,11_beauty,11,68b98d9390d5d1a9,v2,220000,이니시오,,,,,,,
11_beauty-training-000006,11_beauty,11,28bb9d8b4679b6d4,v2,95000,오아,,,,,,,
11_beauty-training-000007,11_beauty,11,4c88095ad540f5be,v2,270000,오르메,,,,,,,
11_beauty-training-000008,11_beauty,11,556b4854d0f80c4e,v2,40000,무아스,,,,,,,
11_beauty-training-000009,11_beauty,11,87ea35e1b8bb7396,v2,46000,이세이미야케,,,,,,,
11_beauty-training-000010,11_beauty,11,4c9d8d0676d8be2a,v2,59585,JMW,,,,,,,
11_beauty-training-000011,11_beauty,11,556b4854d0f80c4e,v2,40000,무아스,,,,,,,
11_beauty-training-000012,11_beauty,11,06ffa7f53271b59e,v2,47000,베르사체,,,,,,,
11_beauty-training-000013,11_beauty,11,5b78a7c0bd2b13ec,v2,60000,딥디크,,,,,,,
11_beauty-training-000014,11_beauty,11,e4b29ed53f6ee9cc,v2,59000,라코스테,,,,,,,
11_beauty-training-000015,11_beauty,11,712c7bda9c1d6f13,v2,62000,랄프로렌,,,,,,,
11_beauty-training-000016,11_beauty,11,43a683e0439c33a2,v2,45000,몽블랑,,,,,,,
11_beauty-training-000017,11_beauty,11,f83b25e9e5b2bf3d,v2,30000,이프아이,,,,,,,
11_beauty-training-000018,11_beauty,11,28bb9d8b4679b6d4,v2,95000,오아,,,,,,,
11_beauty-training-000019,11_beauty,11,9ff1cec5cc882c2b,v2,95000,샤크,,,,,,,
11_beauty-training-000020,11_beauty,11,712c7bda9c1d6f13,v2,62000,랄프로렌,,,,,,,
11_beauty-training-000021,11_beauty,11,df8207f1e97db2c0,v2,200000,르 라보,,,,,,,
11_beauty-training-000022,11_beauty,11,a9860679fff83c15,v2,230000,바툼,,,,,,,
11_beauty-training-000023,11_beauty,11,e98493fe760189cf,v2,14199,샤넬,,,,,,,
11_beauty-training-000024,11_beauty,11,2b585babd7ab5683,v2,51816,유닉스,,,,,,,
11_beauty-training-000025,11_beauty,11,4c9d8d0676d8be2a,v2,53965,JMW,,,,,,,
11_beauty-training-000026,11_beauty,11,933164cd2619ea4c,v2,32000,미쿠,,,,,,,
11_beauty-training-000027,11_beauty,11,8fcf1f8898622ae6,v2,41270,차이슨,,,,,,,
11_beauty-training-000028,11_beauty,11,bf07d49a245f12b6,v2,76709,조말론,,,,,,,
11_beauty-training-000029,11_beauty,11,0f329e38a4b6b6ac,v2,150000,FHI,,,,,,,
11_beauty-training-000030,11_beauty,11,b50ebb33b9f0c9f1,v2,78837,러쉬,,,,,,,
11_beauty-training-000031,11_beauty,11,397a1d5286d4eaa5,v2,60000,페르난다,,,,,,,
11_beauty-training-000032,11_beauty,11,ff7e1f545f62e301,v2,30000,딥티크,,,,,,,
11_beauty-training-000033,11_beauty,11,e9304829da0ea704,v2,115000,비달사순,,,,,,,
11_beauty-training-000034,11_beauty,11,b50ebb33b9f0c9f1,v2,73129,러쉬,,,,,,,
11_beauty-training-000035,11_beauty,11,4c9d8d0676d8be2a,v2,75314,JMW,,,,,,,
11_beauty-training-000036,11_beauty,11,556b4854d0f80c4e,v2,70000,무아스,,,,,,,
11_beauty-training-000037,11_beauty,11,a0e1c345c4b42f66,v2,40000,VTT,,,,,,,
11_beauty-training-000038,11_beauty,11,f5fd57585c28a1d5,v2,77000,비버리힐즈 폴로클럽,,,,,,,
11_beauty-training-000039,11_beauty,11,e47a5fbd8e592dbf,v2,59000,까르띠에,,,,,,,
11_beauty-training-000040,11_beauty,11,4c9d8d0676d8be2a,v2,66512,JMW,,,,,,,
11_beauty-training-000041,11_beauty,11,e5189427eb704ff4,v2,95000,이솝,,,,,,,
11_beauty-training-000042,11_beauty,11,8be07d6ef22174de,v2,24000,무신사스탠다드,,,,,,,
11_beauty-training-000043,11_beauty,11,e9dc1b7662870c11,v2,150000,마르지엘라,,,,,,,
11_beauty-training-000044,11_beauty,11,d74216da3ce27d6e,v2,130000,루킨스,,,,,,,
11_beauty-training-000045,11_beauty,11,4c9d8d0676d8be2a,v2,77135,JMW,,,,,,,
11_beauty-training-000046,11_beauty,11,c2434060154fe210,v2,70000000,OOM Studio,,,,,,,
11_beauty-training-000047,11_beauty,11,3870bca04e898023,v2,270000,Parfums de Marly,,,,,,,
11_beauty-training-000048,11_beauty,11,b50ebb33b9f0c9f1,v2,94606,러쉬,,,,,,,
11_beauty-training-000049,11_beauty,11,788eb9644a32dec3,v2,40000,에이딕트,,,,,,,
11_beauty-training-000050,11_beauty,11,0f329e38a4b6b6ac,v2,150000,FHI,,,,,,,
11_beauty-training-000051,11_beauty,11,04aed5e2cf573475,v2,19000,루이비통,,,,,,,
11_beauty-training-000052,11_beauty,11,d046146efa8b02c9,v2,10000,파테크,,,,,,,
11_beauty-training-000053,11_beauty,11,2b585babd7ab5683,v2,67323,유닉스,,,,,,,
11_beauty-training-000054,11_beauty,11,2b585babd7ab5683,v2,37556,유닉스,,,,,,,
11_beauty-training-000055,11_beauty,11,aafc9d452b6fdee1,v2,65000,메튜장,,,,,,,
11_beauty-training-000056,11_beauty,11,b50ebb33b9f0c9f1,v2,72275,러쉬,,,,,,,
11_beauty-training-000057,11_beauty,11,2ecd558c02680368,v2,370313,다이슨,,,,,,,
11_beauty-training-000058,11_beauty,11,f493146f1bc5bb68,v2,18000,헉슬리,,,,,,,
11_beauty-training-000059,11_beauty,11,6dc065dff929711c,v2,55000,골드필드앤뱅크스,,,,,,,
11_beauty-training-000060,11_beauty,11,4c9d8d0676d8be2a,v2,59405,JMW,,,,,,,
11_beauty-training-000061,11_beauty,11,7effc079681b18dc,v2,65000,필립스,,,,,,,
11_beauty-training-000062,11_beauty,11,4c9d8d0676d8be2a,v2,76543,JMW,,,,,,,
11_beauty-training-000063,11_beauty,11,4c9d8d0676d8be2a,v2,53104,JMW,,,,,,,
11_beauty-training-000064,11_beauty,11,28bb9d8b4679b6d4,v2,95000,오아,,,,,,,
11_beauty-training-000065,11_beauty,11,8fcf1f8898622ae6,v2,42047,차이슨,,,,,,,
11_beauty-training-000066,11_beauty,11,4c9d8d0676d8be2a,v2,47743,JMW,,,,,,,
11_beauty-training-000067,11_beauty,11,8a8780bff00d01f4,v2,15000,탬버린즈,,,,,,,
11_beauty-training-000068,11_beauty,11,788eb9644a32dec3,v2,40000,에이딕트,,,,,,,
11_beauty-training-000069,11_beauty,11,b0e41deb6c4e74fe,v2,48000,리히텐,,,,,,,
11_beauty-training-000070,11_beauty,11,f83b25e9e5b2bf3d,v2,30000,이프아이,,,,,,,
11_beauty-training-000071,11_beauty,11,e9304829da0ea704,v2,115000,비달사순,,,,,,,
11_beauty-training-000072,11_beauty,11,788eb9644a32dec3,v2,40000,에이딕트,,,,,,,
11_beauty-training-000073,11_beauty,11,dd2fec521b684a54,v2,16600,블라우풍트,,,,,,,
11_beauty-training-000074,11_beauty,11,e47c056cf6a0e68b,v2,15000,펫다움,,,,,,,
11_beauty-training-000075,11_beauty,11,30aa86e1a64475ff,v2,15000,디올,,,,,,,
11_beauty-training-000076,11_beauty,11,38a4e2e7a139e4fc,v2,70000,메종마르지엘라,,,,,,,
11_beauty-training-000077,11_beauty,11,2ee5f7e0865c69ca,v2,130000,입생로랑,,,,,,,
11_beauty-training-000078,11_beauty,11,a0e1c345c4b42f66,v2,40000,VTT,,,,,,,
11_beauty-training-000079,11_beauty,11,4c9d8d0676d8be2a,v2,71728,JMW,,,,,,,
11_beauty-training-000080,11_beauty,11,d17f52f08f7cd0ba,v2,16000,CRASTS,,,,,,,
11_beauty-training-000081,11_beauty,11,30aa86e1a64475ff,v2,55000,디올,,,,,,,
11_beauty-training-000082,11_beauty,11,4c9d8d0676d8be2a,v2,57949,JMW,,,,,,,
11_beauty-training-000083,11_beauty,11,ee0961d704a69aff,v2,20000,애터미,,,,,,,
11_beauty-training-000084,11_beauty,11,8fcf1f8898622ae6,v2,40830,차이슨,,,,,,,
11_beauty-training-000085,11_beauty,11,8a9515f63839f978,v2,10000,테팔,,,,,,,
11_beauty-training-000086,11_beauty,11,2b585babd7ab5683,v2,24666,유닉스,,,,,,,
11_beauty-training-000087,11_beauty,11,2ecd558c02680368,v2,328478,다이슨,,,,,,,
11_beauty-training-000088,11_beauty,11,9ff1cec5cc882c2b,v2,95000,샤크,,,,,,,
11_beauty-training-000089,11_beauty,11,9ff1cec5cc882c2b,v2,95000,샤크,,,,,,,
11_beauty-training-000090,11_beauty,11,bf07d49a245f12b6,v2,64690,조말론,,,,,,,
