item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_type,subtype,brand,model_name,color_main,condition_grade,usage_period,material_main
02_furniture_interior-training-000000,02_furniture_interior,02,9ca650d08f7678ec,v2,350000,,,Ergohuman,P2,,,,
02_furniture_interior-training-000001,02_furniture_interior,02,eccb0c4b24323f31,v2,154000,,,퍼시스,CHN4300RH,,,,
02_furniture_interior-training-000002,02_furniture_interior,02,7ac023dcb0163f64,v2,130000,,,니스툴,expert,,,,
02_furniture_interior-training-000003,02_furniture_interior,02,48e082fe232a7625,v2,8000,,,STARBUCKS,더팬텀ll 브레인,,,,
02_furniture_interior-training-000004,02_furniture_interior,02,08a69508244d52f7,v2,400000,,,곰지락,더팬텀ll 브레인,,,,
02_furniture_interior-training-000005,02_furniture_interior,02,fc1d94e265c54cdb,v2,230000,,,장인가구,칸토르,,,,
02_furniture_interior-training-000006,02_furniture_interior,02,6ef6aa004bf03a63,v2,13000000,,,퍼시스,체오스,,,,
02_furniture_interior-training-000007,02_furniture_interior,02,d0e4e0c79d1496d6,v2,400000,,,FRITZ HANSEN,Series 7,,,,
02_furniture_interior-training-000008,02_furniture_interior,02,1b9f9fc82aaa6f27,v2,15000,,,대우,CH0015WAF,,,,
02_furniture_interior-training-000009,02_furniture_interior,02,77a2139f92a65e02,v2,50000,,,일룸,expert,,,,
02_furniture_interior-training-000010,02_furniture_interior,02,74e16f23a4f3c754,v2,120000,,,퍼시스,라비토 체어 스몰,,,,
02_furniture_interior-training-000011,02_furniture_interior,02,9794021d730cc420,v2,130000,,,일룸,이타카네오,,,,
02_furniture_interior-training-000012,02_furniture_interior,02,262e1e405772243b,v2,200000,,,루나랩,모션데스크 라이트 1800mm,,,,
02_furniture_interior-training-000013,02_furniture_interior,02,ba51200fff4af9f9,v2,150000,,,루나랩,콰트로,,,,
02_furniture_interior-training-000014,02_furniture_interior,02,419dd7fa05b171da,v2,100000,,,리바트,오클렛 1490,,,,
02_furniture_interior-training-000015,02_furniture_interior,02,d0e4e0c79d1496d6,v2,400000,,,FRITZ HANSEN,Series 7,,,,
02_furniture_interior-training-000016,02_furniture_interior,02,cb27359ffb4066bd,v2,75000,,,포더홈,페어강화유리데스크,,,,
02_furniture_interior-training-000017,02_furniture_interior,02,8f5f45c5630f2199,v2,1700000,,,휴테크,cl-6300,,,,
02_furniture_interior-training-000018,02_furniture_interior,02,41d5aaa558f778ef,v2,121000,,,퍼시스,CH0015WAF,,,,
02_furniture_interior-training-000019,02_furniture_interior,02,e933e7448b462f41,v2,50000,,,마젤란하우스,더팬텀ll 브레인,,,,
02_furniture_interior-training-000020,02_furniture_interior,02,6e70683ca63b7093,v2,50000,,,APIX,GD001 1600L,,,,
02_furniture_interior-training-000021,02_furniture_interior,02,13a750af1f3f865e,v2,300000,,,체리쉬,BFR-8000,,,,
02_furniture_interior-training-000022,02_furniture_interior,02,f8c0de36912d95ce,v2,49000,,,보컨셉,오타와체어st,,,,
02_furniture_interior-training-000023,02_furniture_interior,02,41d5aaa558f778ef,v2,121000,,,퍼시스,CH0015WAF,,,,
02_furniture_interior-training-000024,02_furniture_interior,02,a9ae3162820e5129,v2,200000,,,컴프프로,스카이1200,,,,
02_furniture_interior-training-000025,02_furniture_interior,02,de156ad688659cef,v2,35000,,,보컨셉,트로이,,,,
02_furniture_interior-training-000026,02_furniture_interior,02,9cc03d0a67b5e2a0,v2,90000,,,한샘,홀리라이트 1600,,,,
02_furniture_interior-training-000027,02_furniture_interior,02,7ae46b917023b1d7,v2,200000,,,한샘,EP-MAK1,,,,
02_furniture_interior-training-000028,02_furniture_interior,02,588d86a857aee552,v2,6770,,,우진금속,LC1,,,,
02_furniture_interior-training-000029,02_furniture_interior,02,7ac023dcb0163f64,v2,130000,,,니스툴,expert,,,,
02_furniture_interior-training-000030,02_furniture_interior,02,84d93153ad5945bf,v2,100000,,,DESKER,아레나 프라임 메쉬,,,,
02_furniture_interior-training-000031,02_furniture_interior,02,d0e4e0c79d1496d6,v2,400000,,,FRITZ HANSEN,Series 7,,,,
02_furniture_interior-training-000032,02_furniture_interior,02,244a52b485dd054e,v2,300000,,,HILTON,와이미 애니 고무나무 원목 6인용 식탁 세트,,,,
02_furniture_interior-training-000033,02_furniture_interior,02,21c167e91c970744,v2,50000,,,두닷,콰트로,,,,
02_furniture_interior-training-000034,02_furniture_interior,02,2a68b84b060cba15,v2,15000,,,IKEA,cl-6300,,,,
02_furniture_interior-training-000035,02_furniture_interior,02,77a2139f92a65e02,v2,250000,,,일룸,M090,,,,
02_furniture_interior-training-000036,02_furniture_interior,02,21c167e91c970744,v2,50000,,,두닷,t50hlda,,,,
