item_id,category_name,category_code,spec_key_hash,hash_version,used_price,product_type,brand,model_name,color,usage_stage,condition_grade,defect_notes,purchase_time
03_baby_kids-training-000000,03_baby_kids,03,67a916d29c8b73f8,v2,360000,,에그,듀엣프로 듀오,,,,,
03_baby_kids-training-000001,03_baby_kids,03,ad47fb551782acad,v2,480000,,아티포페,자이가이스트 트위드 W,,,,,
03_baby_kids-training-000002,03_baby_kids,03,98ca7082ac4bdd95,v2,698000,,에그,에그2,,,,,
03_baby_kids-training-000003,03_baby_kids,03,e56bc319909fea53,v2,285000,,베이비뵨,하모니 3D 메쉬,,,,,
03_baby_kids-training-000004,03_baby_kids,03,608b7722d58bd549,v2,780000,,에그,2,,,,,
03_baby_kids-training-000005,03_baby_kids,03,64312a2b256a615f,v2,290000,,포그내,맥스플로우 올인원,,,,,
03_baby_kids-training-000006,03_baby_kids,03,623df624cfd51c66,v2,259218,,스토케,트레일즈,,,,,
03_baby_kids-training-000007,03_baby_kids,03,2b5adc855ee0def2,v2,15000,,에끌레브,3D 메쉬,,,,,
03_baby_kids-training-000008,03_baby_kids,03,b678aac022f47007,v2,100000,,베이비뵨,하모니,,,,,
03_baby_kids-training-000009,03_baby_kids,03,ce4ecdc14ba643ef,v2,40000,,에끌레브,펄스 올인원,,,,,
03_baby_kids-training-000010,03_baby_kids,03,6c66a9c1365bc066,v2,300000,,부가부,비6,,,,,
03_baby_kids-training-000011,03_baby_kids,03,d3584777a9837530,v2,300000,,스냅앤고,하모니,,,,,
03_baby_kids-training-000012,03_baby_kids,03,ba3fd402c2c0e1b5,v2,28000,,타이니모빌,듀엣프로 듀오,,,,,
03_baby_kids-training-000013,03_baby_kids,03,a638a224d94ad39c,v2,50000,,끌라미엘,원터치 캐리어 3D매쉬,,,,,
03_baby_kids-training-000014,03_baby_kids,03,374651c6ef602101,v2,1350000,,Egg,Egg3 디럭스,,,,,
03_baby_kids-training-000015,03_baby_kids,03,652f044b5ba16a81,v2,39000,,코니,듀얼 서포트 힙시트,,,,,
03_baby_kids-training-000016,03_baby_kids,03,7bf6d020444c46b2,v2,190000,,베베스완,V5 엘레강스,,,,,
03_baby_kids-training-000017,03_baby_kids,03,ba2f6485bd502525,v2,500000,,스토케,V5,,,,,
03_baby_kids-training-000018,03_baby_kids,03,959bfbd6ab6af6e6,v2,270000,,싸이벡스,미오스 2.0,,,,,
03_baby_kids-training-000019,03_baby_kids,03,c08dc28cb48fe2e7,v2,190000,,포그내,맥스 올인원,,,,,
03_baby_kids-training-000020,03_baby_kids,03,e5cb027a81ede62d,v2,750000,,부가부,버터플라이,,,,,
03_baby_kids-training-000021,03_baby_kids,03,12e9400a79367544,v2,220000,,하이브리드,캐빈,,,,,
03_baby_kids-training-000022,03_baby_kids,03,11bc61df989f18b2,v2,60000,,백효정,듄,,,,,
03_baby_kids-training-000023,03_baby_kids,03,5c8afa29154ee4d0,v2,110000,,베이비뵨,무브,,,,,
03_baby_kids-training-000024,03_baby_kids,03,aae77c6399a617cd,v2,90000,,Ryan,캐리 듀얼,,,,,
