item_id,category_name,category_code,spec_key_hash,hash_version,used_price,book_type,exam_name,exam_stage,subject_or_part,publisher_brand,volume_type,edition_or_target_year,set_included_count
14_books-training-000000,14_books,14,97a9ace57d6e03a0,v2,5000,,,,,,,,
14_books-training-000001,14_books,14,768b77fc5297beb4,v2,80000,,,,,,,,
14_books-training-000002,14_books,14,11e095ed54239617,v2,24000,,,,,,,,
14_books-training-000003,14_books,14,626a66ab35699340,v2,16000,,,,,,,,
14_books-training-000004,14_books,14,83687b0088e541ad,v2,70000,,,,,,,,
14_books-training-000005,14_books,14,1dd07ddc0e3902bd,v2,9227,,,,,,,,
14_books-training-000006,14_books,14,d482a66ae73a9fc9,v2,35000,,,,,,,,
14_books-training-000007,14_books,14,6b23f3a2653b26aa,v2,13425,,,,,,,,
14_books-training-000008,14_books,14,902b60717abff9ab,v2,10000,,,,,,,,
14_books-training-000009,14_books,14,af4dc1f614c3e211,v2,12000,,,,,,,,
14_books-training-000010,14_books,14,0430a70851107767,v2,72308,,,,,,,,
14_books-training-000011,14_books,14,636ec353946ea0bb,v2,17000,,,,,,,,
14_books-training-000012,14_books,14,1dd07ddc0e3902bd,v2,6398,,,,,,,,
14_books-training-000013,14_books,14,bc0016f28aceca72,v2,35000,,,,,,,,
14_books-training-000014,14_books,14,b2617cb5bd86622d,v2,10000,,,,,,,,
14_books-training-000015,14_books,14,55b8bb7fa5ea5d38,v2,13000,,,,,,,,
14_books-training-000016,14_books,14,6b23f3a2653b26aa,v2,15349,,,,,,,,
14_books-training-000017,14_books,14,8532fca8ec4a649c,v2,13000,,,,,,,,
14_books-training-000018,14_books,14,96186573a7f6e06f,v2,68000,,,,,,,,
14_books-training-000019,14_books,14,6306dc70ec9020dd,v2,130000,,,,,,,,
14_books-training-000020,14_books,14,55b8bb7fa5ea5d38,v2,13000,,,,,,,,
14_books-training-000021,14_books,14,0dbc07a12dd15887,v2,7000,,,,,,,,
14_books-training-000022,14_books,14,703460d625c6c2c9,v2,12000,,,,,,,,
14_books-training-000023,14_books,14,f3e31988ba846566,v2,5000,,,,,,,,
14_books-training-000024,14_books,14,004ca082542319c6,v2,10000,,,,,,,,
14_books-training-000025,14_books,14,37cc54a72e04a266,v2,15000,,,,,,,,
14_books-training-000026,14_books,14,269c399edea3a858,v2,16000,,,,,,,,
14_books-training-000027,14_books,14,e934230818e5187a,v2,27000,,,,,,,,
14_books-training-000028,14_books,14,37cc54a72e04a266,v2,15000,,,,,,,,
14_books-training-000029,14_books,14,6b23f3a2653b26aa,v2,15869,,,,,,,,
14_books-training-000030,14_books,14,db647b01822424e1,v2,15000,,,,,,,,
14_books-training-000031,14_books,14,778462686610199d,v2,12800,,,,,,,,
14_books-training-000032,14_books,14,dfaaaaffd934c4ad,v2,30000,,,,,,,,
14_books-training-000033,14_books,14,0f1805b152418079,v2,12500,,,,,,,,
14_books-training-000034,14_books,14,acecba58340d9da9,v2,110000,,,,,,,,
14_books-training-000035,14_books,14,37b8f3d0387aeeee,v2,13000,,,,,,,,
14_books-training-000036,14_books,14,11e095ed54239617,v2,24000,,,,,,,,
14_books-training-000037,14_books,14,0430a70851107767,v2,54234,,,,,,,,
14_books-training-000038,14_books,14,5e6915f7833060a8,v2,20000,,,,,,,,
14_books-training-000039,14_books,14,778462686610199d,v2,12800,,,,,,,,
14_books-training-000040,14_books,14,3e46c825298f0189,v2,6000,,,,,,,,
14_books-training-000041,14_books,14,6306dc70ec9020dd,v2,119139,,,,,,,,
14_books-training-000042,14_books,14,6b23f3a2653b26aa,v2,12211,,,,,,,,
14_books-training-000043,14_books,14,bd2a694fe464b0a5,v2,21300,,,,,,,,
14_books-training-000044,14_books,14,48a24bd539968f56,v2,5000,,,,,,,,
14_books-training-000045,14_books,14,98d3a74a5524a30d,v2,17595,,,,,,,,
14_books-training-000046,14_books,14,f3f253185d7faeac,v2,8700,,,,,,,,
14_books-training-000047,14_books,14,0430a70851107767,v2,125216,,,,,,,,
14_books-training-000048,14_books,14,0430a70851107767,v2,126793,,,,,,,,
14_books-training-000049,14_books,14,742745782b311d27,v2,4000,,,,,,,,
14_books-training-000050,14_books,14,db647b01822424e1,v2,15000,,,,,,,,
14_books-training-000051,14_books,14,efa379274661eb90,v2,9000,,,,,,,,
14_books-training-000052,14_books,14,067dd75440f0ce32,v2,12000,,,,,,,,
14_books-training-000053,14_books,14,6914c0999b108a75,v2,16000,,,,,,,,
14_books-training-000054,14_books,14,7834f6a4c9ffe180,v2,330000,,,,,,,,
14_books-training-000055,14_books,14,7b09d7867803b4bb,v2,40000,,,,,,,,
14_books-training-000056,14_books,14,866265abf965c48c,v2,63000,,,,,,,,
14_books-training-000057,14_books,14,1092e639f6a05e41,v2,4000,,,,,,,,
14_books-training-000058,14_books,14,1dd07ddc0e3902bd,v2,10732,,,,,,,,
14_books-training-000059,14_books,14,768b77fc5297beb4,v2,80000,,,,,,,,
14_books-training-000060,14_books,14,404ea591d2bd4d4b,v2,100000,,,,,,,,
14_books-training-000061,14_books,14,ff4f0c7e9ea7f636,v2,30000,,,,,,,,
14_books-training-000062,14_books,14,216c44ceb934530d,v2,11000,,,,,,,,
14_books-training-000063,14_books,14,7b09d7867803b4bb,v2,23100,,,,,,,,
14_books-training-000064,14_books,14,067dd75440f0ce32,v2,12000,,,,,,,,
14_books-training-000065,14_books,14,0430a70851107767,v2,65069,,,,,,,,
14_books-training-000066,14_books,14,067dd75440f0ce32,v2,12000,,,,,,,,
14_books-training-000067,14_books,14,089874fbede2068d,v2,8500,,,,,,,,
14_books-training-000068,14_books,14,4badbf154f32912d,v2,12000,,,,,,,,
14_books-training-000069,14_books,14,742745782b311d27,v2,4000,,,,,,,,
14_books-training-000070,14_books,14,4e103071e9393d27,v2,35000,,,,,,,,
14_books-training-000071,14_books,14,dfaaaaffd934c4ad,v2,30000,,,,,,,,
14_books-training-000072,14_books,14,184ac61def3160c3,v2,9000,,,,,,,,
14_books-training-000073,14_books,14,742745782b311d27,v2,4000,,,,,,,,
14_books-training-000074,14_books,14,3d30d3c7aad97619,v2,58000,,,,,,,,
14_books-training-000075,14_books,14,404ea591d2bd4d4b,v2,23000,,,,,,,,
14_books-training-000076,14_books,14,775bd06faf3bbf75,v2,5000,,,,,,,,
14_books-training-000077,14_books,14,98d3a74a5524a30d,v2,34616,,,,,,,,
14_books-training-000078,14_books,14,3e46c825298f0189,v2,6000,,,,,,,,
14_books-training-000079,14_books,14,90380e8ede8db68c,v2,30000,,,,,,,,
14_books-training-000080,14_books,14,7b09d7867803b4bb,v2,23100,,,,,,,,
14_books-training-000081,14_books,14,e6fe3f0d759ef432,v2,65000,,,,,,,,
